10;3;60;Begining Contribution to be received;BEG CONTRIB;;20060512 00:00:00.000;;1;1;2;0;2;0;0;1;0;1; 
10;4;0;FAC Premium;FAC PREMIUM;;19970930 17:47:19.373;;1;1;2;0;1;0;0;1;0;1; 
10;4;10;French Cat Nat Levy;FRENCH CAT NAT;;19970930 00:00:00.000;;1;1;2;0;1;0;0;0;0;0; 
10;5;0;Premium (Mutual);Premium (Mutual);;19990602 00:00:00.000;;1;1;2;0;1;0;0;1;0;1; 
10;5;10;Premium (Mutual) Réass. Administration cost;P Pre Rea Adm Cs;;19990610 00:00:00.000;;1;1;2;0;1;0;0;1;0;1; 
10;5;20;Premium (Mutual) Cedant  Administration cost;P Pre Ced Adm Cs;;19990610 00:00:00.000;;1;1;2;0;1;0;0;1;0;1; 
10;5;30;Premium (Mutual) Egalisation Fund;P Pre Egal Fund;;19990610 00:00:00.000;;1;1;2;0;1;0;0;1;0;1; 
10;6;0;Premium (Terrorism);Premium (Terror);;20031014 00:00:00.000;;1;1;2;0;1;0;0;1;0;1; 
10;7;0;ROJA Premium (Original );ROJA PREMIUM;;19970930 17:47:20.043;;1;1;1;0;1;0;0;1;0;1; 
10;7;10;ROJA Premium (Retro Treaty);ROJA PREM RETRO;;19970930 17:47:20.390;;1;1;2;0;1;1;1;1;0;1; 
10;7;20;Terrorism pool roja premium;GAREAT PREMIUM;;20020528 00:00:00.000;;1;1;1;0;1;0;0;1;0;1; 
10;8;0;Premium refund to policyholders;PREMIUM REFUND;;19970930 17:47:20.800;;1;1;1;0;1;0;0;1;0;1; 
10;9;0;Direct Premium;Direct Premium;;20050601 00:00:00.000;;1;1;0;0;0;0;0;0;0;0; 
11;0;0;Deferred Premium (Ending);END DEFERRED PRE;;19970930 17:47:21.193;;1;1;2;0;1;0;0;0;0;0; 
11;1;0;Deferred Premium (Begining);BEG DEFERRED PRE;;19970930 17:47:21.573;;1;1;1;0;1;0;0;0;0;0; 
12;0;0;Commission;COMMISSIONS;;19970930 17:47:22.173;;1;1;1;0;1;0;1;1;0;1; 
12;0;1;Future Charges;FUTURE CHRG;;20120630 00:00:00.000;;1;1;0;0;0;0;0;0;0;0; 
12;0;2;First Year Commission;First year Com;;20010406 00:00:00.000;;1;1;1;0;1;0;1;1;0;1; 
12;0;3;Single Commission;Single Com;;20010406 00:00:00.000;;1;1;1;0;1;0;1;1;0;1; 
12;0;4;ZFY YRT Commission;ZFY YRT Com;;20120412 00:00:00.000;;1;1;1;0;1;0;0;1;0;1; 
12;0;10;Additional Commission;ADDIT AL COM.;;19970930 17:47:22.376;;1;1;1;0;1;0;1;1;0;1; 
12;0;20;Provisional Sliding Scale Commission;PROV SLI SCA COM;;19970930 17:47:22.580;;1;1;1;0;1;0;1;1;0;1; 
12;0;30;Adjustment Sliding Scale Commission;ADJU SLI SCA COM;;19970930 17:47:22.780;;1;1;1;0;1;0;1;1;0;1; 
