1;10;0;0;1;20140108;D004;0
0;10;0;1;0;20140108;D004;0
1;10;0;2;3;20140108;D004;0
1;10;0;3;5;20140108;D004;0
1;10;0;4;6;20140108;D004;0
1;10;0;5;7;20140108;D004;0
1;10;0;6;8;20140108;D004;0
1;10;0;7;9;20140108;D004;0
1;10;0;10;10;20140108;D004;0
1;10;0;20;12;20140108;D004;0
0;10;0;71;0;20140108;D004;0
0;10;0;72;0;20140108;D004;0
0;10;0;73;0;20140108;D004;0
0;10;0;74;0;20140108;D004;0
0;10;0;75;0;20140108;D004;0
1;10;1;0;2;20140108;D004;0
1;10;1;2;4;20140108;D004;0
1;10;1;10;11;20140108;D004;0
1;10;1;20;13;20140108;D004;0
1;10;1;30;14;20140108;D004;0
1;10;1;40;15;20140108;D004;0
0;10;2;0;0;20140108;D004;0
0;10;2;10;0;20140108;D004;0
0;10;2;20;0;20140108;D004;0
0;10;2;30;0;20140108;D004;0
0;10;2;40;0;20140108;D004;0
0;10;2;50;0;20140108;D004;0
1;10;2;60;16;20140108;D004;0
0;10;3;0;0;20140108;D004;0
0;10;3;1;0;20140108;D004;0
0;10;3;10;0;20140108;D004;0
0;10;3;11;0;20140108;D004;0
0;10;3;20;0;20140108;D004;0
0;10;3;21;0;20140108;D004;0
0;10;3;30;0;20140108;D004;0
0;10;3;31;0;20140108;D004;0
0;10;3;40;0;20140108;D004;0
0;10;3;41;0;20140108;D004;0
0;10;3;50;0;20140108;D004;0
0;10;3;51;0;20140108;D004;0
1;10;3;60;17;20140108;D004;0
1;10;4;0;18;20140108;D004;0
0;10;4;10;0;20140108;D004;0
1;10;5;0;19;20140108;D004;0
1;10;5;10;20;20140108;D004;0
1;10;5;20;21;20140108;D004;0
1;10;5;30;22;20140108;D004;0
0;10;6;0;0;20140108;D004;0
1;10;7;0;23;20140108;D004;0
1;10;7;10;24;20140108;D004;0
1;10;7;20;25;20140108;D004;0
1;10;8;0;26;20140108;D004;0
0;10;9;0;0;20140108;D004;0
0;11;0;0;0;20140108;D004;0
0;11;1;0;0;20140108;D004;0
2;12;0;0;1;20140108;D004;0
0;12;0;1;0;20140108;D004;0
2;12;0;2;3;20140108;D004;0
2;12;0;3;5;20140108;D004;0
2;12;0;4;7;20140108;D004;0
2;12;0;10;8;20140108;D004;0
2;12;0;20;10;20140108;D004;0
2;12;0;30;11;20140108;D004;0
2;12;0;40;12;20140108;D004;0
0;12;0;50;0;20140108;D004;0
0;12;0;60;0;20140108;D004;0
2;12;1;0;2;20140108;D004;0
2;12;1;1;13;20140108;D004;0
2;12;1;2;4;20140108;D004;0
2;12;1;3;6;20140108;D004;0
2;12;1;4;14;20140108;D004;0
2;12;1;10;8;20140108;D004;0
2;12;1;20;9;20140108;D004;0
2;12;2;0;15;20140108;D004;0
0;12;2;10;0;20140108;D004;0
0;12;2;20;0;20140108;D004;0
0;12;2;22;0;20140108;D004;0
0;12;2;23;0;20140108;D004;0
0;12;2;24;0;20140108;D004;0
0;12;2;25;0;20140108;D004;0
0;12;2;26;0;20140108;D004;0
0;12;2;27;0;20140108;D004;0
0;12;2;28;0;20140108;D004;0
0;12;2;29;0;20140108;D004;0
0;12;2;30;0;20140108;D004;0
0;12;2;32;0;20140108;D004;0
0;12;2;33;0;20140108;D004;0
0;12;2;34;0;20140108;D004;0
0;12;2;35;0;20140108;D004;0
0;12;2;36;0;20140108;D004;0
0;12;2;37;0;20140108;D004;0
0;12;2;38;0;20140108;D004;0
0;12;2;39;0;20140108;D004;0
2;12;2;40;16;20140108;D004;0
0;12;2;42;0;20140108;D004;0
