569;1400;10000;1;20140501;D004;20140501;D004;0
569;1400;10002;1;20140501;D004;20140501;D004;0
569;1400;10003;1;20140501;D004;20140501;D004;0
569;1400;10004;1;20140501;D004;20140501;D004;0
569;1400;10005;1;20140501;D004;20140501;D004;0
569;1400;10007;1;20140501;D004;20140501;D004;0
569;1400;10010;1;20140501;D004;20140501;D004;0
569;1400;10020;1;20140501;D004;20140501;D004;0
569;1400;10100;1;20140501;D004;20140501;D004;0
569;1400;10102;1;20140501;D004;20140501;D004;0
569;1400;10110;1;20140501;D004;20140501;D004;0
569;1400;10140;1;20140501;D004;20140501;D004;0
569;1400;10260;1;20140501;D004;20140501;D004;0
569;1400;10360;1;20140501;D004;20140501;D004;0
569;1400;10400;1;20140501;D004;20140501;D004;0
569;1400;10500;1;20140501;D004;20140501;D004;0
569;1400;10510;1;20140501;D004;20140501;D004;0
569;1400;10520;1;20140501;D004;20140501;D004;0
569;1400;10530;1;20140501;D004;20140501;D004;0
569;1400;10700;1;20140501;D004;20140501;D004;0
569;1400;10720;1;20140501;D004;20140501;D004;0
569;1400;10800;1;20140501;D004;20140501;D004;0
569;1400;10006;1;20140501;D004;20140501;D004;0
569;1400;10120;1;20140501;D004;20140501;D004;0
569;1400;10130;1;20140501;D004;20140501;D004;0
569;1400;30100;1;20140501;D004;20140501;D004;0
569;1400;30110;1;20140501;D004;20140501;D004;0
569;1400;30000;1;20140501;D004;20140501;D004;0
569;1400;30010;1;20140501;D004;20140501;D004;0
569;1400;40000;1;20140501;D004;20140501;D004;0
569;1400;40012;1;20140501;D004;20140501;D004;0
569;1400;40013;1;20140501;D004;20140501;D004;0
569;1400;40014;1;20140501;D004;20140501;D004;0
569;1400;40020;1;20140501;D004;20140501;D004;0
569;1400;40030;1;20140501;D004;20140501;D004;0
569;1400;41000;1;20140501;D004;20140501;D004;0
569;1400;41012;1;20140501;D004;20140501;D004;0
569;1400;41013;1;20140501;D004;20140501;D004;0
569;1400;41200;1;20140501;D004;20140501;D004;0
569;1400;46030;1;20140501;D004;20140501;D004;0
569;1400;40100;1;20140501;D004;20140501;D004;0
569;1400;40112;1;20140501;D004;20140501;D004;0
569;1400;40113;1;20140501;D004;20140501;D004;0
569;1400;40114;1;20140501;D004;20140501;D004;0
569;1400;40120;1;20140501;D004;20140501;D004;0
569;1400;40130;1;20140501;D004;20140501;D004;0
569;1400;41100;1;20140501;D004;20140501;D004;0
569;1400;41112;1;20140501;D004;20140501;D004;0
569;1400;41113;1;20140501;D004;20140501;D004;0
569;1400;41300;1;20140501;D004;20140501;D004;0
569;1400;46130;1;20140501;D004;20140501;D004;0
569;1400;41011;1;20140501;D004;20140501;D004;0
569;1400;40010;1;20140501;D004;20140501;D004;0
569;1400;40015;1;20140501;D004;20140501;D004;0
569;1400;40016;1;20140501;D004;20140501;D004;0
569;1400;40017;1;20140501;D004;20140501;D004;0
569;1400;41111;1;20140501;D004;20140501;D004;0
569;1400;40110;1;20140501;D004;20140501;D004;0
569;1400;40115;1;20140501;D004;20140501;D004;0
569;1400;40116;1;20140501;D004;20140501;D004;0
569;1400;40117;1;20140501;D004;20140501;D004;0
569;1400;49000;1;20140501;D004;20140501;D004;0
569;1400;49010;1;20140501;D004;20140501;D004;0
569;1400;49200;1;20140501;D004;20140501;D004;0
569;1400;49100;1;20140501;D004;20140501;D004;0
569;1400;49110;1;20140501;D004;20140501;D004;0
569;1400;49300;1;20140501;D004;20140501;D004;0
569;1400;40040;1;20140501;D004;20140501;D004;0
569;1400;40140;1;20140501;D004;20140501;D004;0
569;1400;14000;1;20140501;D004;20140501;D004;0
569;1400;14002;1;20140501;D004;20140501;D004;0
569;1400;14003;1;20140501;D004;20140501;D004;0
569;1400;14010;1;20140501;D004;20140501;D004;0
569;1400;14300;1;20140501;D004;20140501;D004;0
569;1400;14302;1;20140501;D004;20140501;D004;0
569;1400;12000;1;20140501;D004;20140501;D004;0
569;1400;12002;1;20140501;D004;20140501;D004;0
569;1400;12003;1;20140501;D004;20140501;D004;0
569;1400;12010;1;20140501;D004;20140501;D004;0
569;1400;12020;1;20140501;D004;20140501;D004;0
569;1400;12030;1;20140501;D004;20140501;D004;0
569;1400;12040;1;20140501;D004;20140501;D004;0
569;1400;12100;1;20140501;D004;20140501;D004;0
569;1400;12102;1;20140501;D004;20140501;D004;0
569;1400;12103;1;20140501;D004;20140501;D004;0
569;1400;12120;1;20140501;D004;20140501;D004;0
569;1400;12200;1;20140501;D004;20140501;D004;0
569;1400;12240;1;20140501;D004;20140501;D004;0
569;1400;12270;1;20140501;D004;20140501;D004;0
569;1400;12500;1;20140501;D004;20140501;D004;0
569;1400;12600;1;20140501;D004;20140501;D004;0
569;1400;13000;1;20140501;D004;20140501;D004;0
569;1400;15030;1;20140501;D004;20140501;D004;0
569;1400;15100;1;20140501;D004;20140501;D004;0
569;1400;15110;1;20140501;D004;20140501;D004;0
569;1400;31000;1;20140501;D004;20140501;D004;0
569;1400;31010;1;20140501;D004;20140501;D004;0
569;1400;31020;1;20140501;D004;20140501;D004;0
569;1400;31030;1;20140501;D004;20140501;D004;0
569;1400;31100;1;20140501;D004;20140501;D004;0
569;1400;31110;1;20140501;D004;20140501;D004;0
569;1400;31200;1;20140501;D004;20140501;D004;0
569;1400;31210;1;20140501;D004;20140501;D004;0
569;1400;12110;1;20140501;D004;20140501;D004;0
569;1400;12400;1;20140501;D004;20140501;D004;0
569;1400;15000;1;20140501;D004;20140501;D004;0
569;1400;15010;1;20140501;D004;20140501;D004;0
569;1400;15020;1;20140501;D004;20140501;D004;0
569;1400;15050;1;20140501;D004;20140501;D004;0
569;1400;15060;1;20140501;D004;20140501;D004;0
569;1400;20020;1;20140501;D004;20140501;D004;0
569;1400;20080;1;20140501;D004;20140501;D004;0
569;1400;20090;1;20140501;D004;20140501;D004;0
569;1400;20000;1;20140501;D004;20140501;D004;0
569;1400;20002;1;20140501;D004;20140501;D004;0
569;1400;20010;1;20140501;D004;20140501;D004;0
569;1400;20012;1;20140501;D004;20140501;D004;0
569;1400;20013;1;20140501;D004;20140501;D004;0
569;1400;20030;1;20140501;D004;20140501;D004;0
569;1400;20032;1;20140501;D004;20140501;D004;0
569;1400;20034;1;20140501;D004;20140501;D004;0
569;1400;20040;1;20140501;D004;20140501;D004;0
569;1400;20050;1;20140501;D004;20140501;D004;0
569;1400;20060;1;20140501;D004;20140501;D004;0
569;1400;20070;1;20140501;D004;20140501;D004;0
569;1400;20700;1;20140501;D004;20140501;D004;0
569;1400;20720;1;20140501;D004;20140501;D004;0
569;1400;20900;1;20140501;D004;20140501;D004;0
569;1400;20003;1;20140501;D004;20140501;D004;0
569;1400;20004;1;20140501;D004;20140501;D004;0
569;1400;20005;1;20140501;D004;20140501;D004;0
569;1400;20033;1;20140501;D004;20140501;D004;0
569;1400;20082;1;20140501;D004;20140501;D004;0
569;1400;20500;1;20140501;D004;20140501;D004;0
569;1400;32100;1;20140501;D004;20140501;D004;0
569;1400;32110;1;20140501;D004;20140501;D004;0
569;1400;32120;1;20140501;D004;20140501;D004;0
569;1400;32130;1;20140501;D004;20140501;D004;0
569;1400;32000;1;20140501;D004;20140501;D004;0
569;1400;32010;1;20140501;D004;20140501;D004;0
569;1400;32020;1;20140501;D004;20140501;D004;0
569;1400;32030;1;20140501;D004;20140501;D004;0
569;1400;42000;1;20140501;D004;20140501;D004;0
569;1400;42002;1;20140501;D004;20140501;D004;0
569;1400;42010;1;20140501;D004;20140501;D004;0
