UAT;ubas;20200307;GO;CPTJ0320;0:0:11
UAT;ubas;20200307;GO;CPTJ0620;0:0:15
UAT;ubas;20200307;GO;CPTM1010;0:0:25
UAT;ubas;20200305;GO;ESCJ0060;0:1:10
UAT;ubas;20200307;GO;RTCJ0100;0:0:34
UAT;ubas;20200307;GO;SINJ1250;0:0:0
UAT;ubas;20200307;GO;RTCD1000;0:0:1
UAT;ubas;20200307;GO;RGLJ0020;0:0:2
UAT;ubas;20200307;GO;RTCJ0300;0:0:1
UAT;ubas;20200307;GO;SINJ1260;0:0:1
UAT;ubas;20200307;GO;RGLJ0010;0:0:6
UAT;ubas;20200307;GO;RGLJ0830;0:0:1
UAT;ubas;20200307;GO;RGLJ0820;0:0:0
UAT;ubas;20200307;GO;RGLJ0120;0:0:14
UAT;ubas;20200307;GO;RGLJ9010;0:0:28
UAT;ubas;20200307;GO;RGLJ0610;0:0:9
UAT;ubas;20200307;GO;RTCJ0200;0:0:17
UAT;ubas;20200307;GO;RGLJ0410;0:0:10
UAT;ubas;20200307;GO;RGLJ0460;0:0:1
UAT;ubas;20200307;GO;RGLJ0440;0:0:17
UAT;ubas;20200307;GO;RGLJ0520;0:0:19
UAT;ubas;20200307;GO;RGLJ0470;0:0:13
UAT;ubas;20200307;GO;RGLJ0530;0:0:13
UAT;ubas;20200307;GO;RGLJ0510;0:0:2
UAT;ubas;20200307;GO;RGLJ0420;0:0:11
UAT;ubas;20200307;GO;RGLJ0540;0:0:12
UAT;ubas;20200307;GO;RTPJ0100;0:0:50
UAT;ubas;20200305;GO;ESID0120;0:2:5
UAT;ubas;20200307;GO;NMLINK03;0:0:0
UAT;ubas;20200307;NO GO;ESLJ0090;0:0:0
UAT;ubas;20200307;GO;RTPJ0200;0:0:10
UAT;ubas;20200307;NO GO;ESLD1800;0:0:1
UAT;ubas;20200307;NO GO;ESLD1900;0:0:0
UAT;ubas;20200307;GO;RTPJ0300;0:0:5
UAT;ubas;20200307;NO GO;ESLD2900;0:0:1
UAT;ubas;20200307;GO;RTPJ0500;0:0:2
UAT;ubas;20200307;NO GO;ESLD3800;0:0:1
UAT;ubas;20200307;NO GO;ESLD8700;0:0:0
UAT;ubas;20200307;NO GO;ESLD8830;0:0:1
UAT;ubas;20200307;NO GO;ESLD8100;0:0:1
UAT;ubas;20200307;NO GO;ESLJ8990;0:0:1
UAT;ubas;20200307;GO;RTPJ0400;0:0:2
UAT;ubas;20200307;GO;RTCJ0200;0:0:14
UAT;ubas;20200307;GO;RTCJ0400;0:0:56
UAT;ubas;20200307;GO;RTCJ0500;0:0:1
UAT;ubas;20200307;GO;RTCD0500;0:0:1
UAT;ubas;20200307;GO;RTCJ0500S;0:0:1
UAT;ubas;20200307;GO;RTCJ0600;0:0:1
UAT;ubas;20200305;GO;ESPJ0090;0:2:20
UAT;ubas;20200307;GO;CPTJ1110;0:0:12
UAT;ubas;20200307;GO;CPEJ4000;0:0:1
UAT;ubas;20200307;GO;CPTJ1410;0:0:13
UAT;ubas;20200307;GO;CPTJ1420;0:0:13
UAT;ubas;20200307;GO;CPTJ1470;0:0:13
UAT;ubas;20200307;GO;CPTJ1450;0:0:16
UAT;ubas;20200307;GO;CPEJ4020;0:0:36
UAT;ubas;20200307;GO;CPTJ1430;0:0:24
UAT;ubas;20200307;GO;RGLJ0030;0:0:13
UAT;ubas;20200307;GO;ESEJ0200;0:0:1
UAT;ubas;20200307;GO;ESEJ0210;0:0:1
UAT;ubas;20200307;GO;ESEJ0220;0:0:1
UAT;ubas;20200307;GO;ESEJ0230;0:0:1
UAT;ubas;20200307;GO;ESEJ0240;0:0:1
UAT;ubas;20200307;GO;RGLJ0720;0:0:1
UAT;ubas;20200307;GO;ESIJ2000;0:0:2
UAT;ubas;20200307;GO;SINJ0010;0:0:0
