component;Delivery revision;SPIRA;Label;Deploy;delivery date;Spot number;OTS Revision;SPOC revision;Error Type;user;dev revision;dev date;deploy date;csv revision
oest/cmd/ES1051C1.cmd;533210;101403;SPIRA: 101403 SPIRA 101403 Optimisation ESPD3610;CT;04/01/2022 12:59;;Repo_20220104130100Repo_20220104153103Repo_20220105164600Repo_20220105173123Repo_20220105194600Repo_20220106090100Repo_20220106094600Repo_20220106100100Repo_20220106170100Repo_20220107120100Repo_20220107134600Repo_20220107171600Repo_20220107174600Repo_20220107180100Repo_20220110094600Repo_20220110143103Repo_20220110180100Repo_20220111120100Repo_20220111143100Repo_20220111150100Repo_20220111163100Repo_20220111164600Repo_20220112153842Repo_20220112164600Repo_20220112171600Repo_20220113154600Repo_20220113160100Repo_20220113163103Repo_20220113164600Repo_20220113180100Repo_20220113184600Repo_20220113190100Repo_20220114090100Repo_20220114120100Repo_20220114121600Repo_20220117111600Repo_20220117120100Repo_20220117160100Repo_20220117171600Repo_20220117190100Repo_20220118114600Repo_20220118151600Repo_20220118161600Repo_20220118174600Repo_20220119080100Repo_20220119114600Repo_20220119121600Repo_20220119150100Repo_20220119164600Repo_20220119173100Repo_20220120104600Repo_20220120110100Repo_20220120111600Repo_20220120123100Repo_20220120124600Repo_20220120143100Repo_20220120144600Repo_20220120150100Repo_20220120153102Repo_20220120154600Repo_20220120171600Repo_20220120174600Repo_20220120180100Repo_20220121080100Repo_20220121091600Repo_20220121093100Repo_20220121100100Repo_20220121104600Repo_20220121110100Repo_20220121111600;;;frdev11;533207;04/01/2022 12:58;;535225;
oest/cmd/ESCJ0661.cmd;534136;101272;SPIRA: 101272 SPIRA 101272 new EST_FESB;CT;12/01/2022 14:57;;Repo_20220112153842Repo_20220112164600Repo_20220112171600Repo_20220113154600Repo_20220113160100Repo_20220113163103Repo_20220113164600Repo_20220113180100Repo_20220113184600Repo_20220113190100Repo_20220114090100Repo_20220114120100Repo_20220114121600Repo_20220117111600Repo_20220117120100Repo_20220117160100Repo_20220117171600Repo_20220117190100Repo_20220118114600Repo_20220118151600Repo_20220118161600Repo_20220118174600Repo_20220119080100Repo_20220119114600Repo_20220119121600Repo_20220119150100Repo_20220119164600Repo_20220119173100Repo_20220120104600Repo_20220120110100Repo_20220120111600Repo_20220120123100Repo_20220120124600Repo_20220120143100Repo_20220120144600Repo_20220120150100Repo_20220120153102Repo_20220120154600Repo_20220120171600Repo_20220120174600Repo_20220120180100Repo_20220121080100Repo_20220121091600Repo_20220121093100Repo_20220121100100Repo_20220121104600Repo_20220121110100Repo_20220121111600;;;U010890;534133;12/01/2022 14:42;;535225;
oest/cmd/ESFD0040.cmd;535585;101782;SPIRA: 101782 SPIRA 101782 : rework granularity ; master product code;CE;2022/01/25 15:17;;;;;U007314;535584;2022-01-25 15:14:40 ;;
oest/cmd/ESFD0040.cmd;535832;101782;SPIRA: 101782 SPIRA 101782 : JYP : bugfix and manage option BOOKED_OPT;CE;2022/01/27 15:48;;;;;U007314;535831;2022-01-27 15:29:44 ;;;
oest/cmd/ESFD0040.cmd;535902;101782;SPIRA: 101782 SPIRA 101782 : JYP : bugfix and send granularity files to SAP;CE;2022/01/28 10:13;;;;;U007314;535898;2022-01-28 09:58:31 ;;;
oest/cmd/ESFD0041.cmd;535587;101782;SPIRA: 101782 SPIRA 101782 : rework granularity ; master product code;CE;2022/01/25 15:17;;;;;U007314;535584;2022-01-25 15:14:40 ;;
oest/cmd/ESFD0041.cmd;535649;101782;SPIRA: 101782 SPIRA 101782 : rework granularity ; master product code;CE;2022/01/25 17:53;;;;;U007314;535647;2022-01-25 17:48:32 ;;
oest/cmd/ESFD0041.cmd;535782;101782;SPIRA: 101782 SPIRA 101782 : JYP : new product codes and contract links files;CE;2022/01/27 11:19;;;;;U007314;535780;2022-01-27 11:13:51 ;;;
oest/cmd/ESFD0041.cmd;535835;101782;SPIRA: 101782 SPIRA 101782 : JYP : bugfix and manage option BOOKED_OPT;CE;2022/01/27 15:49;;;;;U007314;535829;2022-01-27 15:15:36 ;;;
oest/cmd/ESFD0041.cmd;535905;101782;SPIRA: 101782 SPIRA 101782 : JYP : bugfix and send granularity files to SAP;CE;2022/01/28 10:16;;;;;U007314;535898;2022-01-28 09:58:31 ;;;
oest/cmd/ESFD0041.cmd;536193;101782;SPIRA: 101782 SPIRA 101782 : granularity clean contract links file;CE;2022/01/31 16:49;;;;;U007314;536178;2022-01-31 16:41:27 ;;;
oest/cmd/ESFD0042.cmd;535907;101782;SPIRA: 101782 SPIRA 101782 : JYP : bugfix and send granularity files to SAP;CE;2022/01/28 10:17;;;;;U007314;535898;2022-01-28 09:58:31 ;;;
oest/cmd/ESFD0062.cmd;533002;99667;SPIRA: 99667 SPIRA 99667 PARM_BOOKINGPREV_D replaced by PARM_PSTOMGEND17_PREV_D;CT;29/12/2021 15:54;;Repo_20211229160100Repo_20211230134600Repo_20220104130100Repo_20220104153103Repo_20220105164600Repo_20220105173123Repo_20220105194600Repo_20220106090100Repo_20220106094600Repo_20220106100100Repo_20220106170100Repo_20220107120100Repo_20220107134600Repo_20220107171600Repo_20220107174600Repo_20220107180100Repo_20220110094600Repo_20220110143103Repo_20220110180100Repo_20220111120100Repo_20220111143100Repo_20220111150100Repo_20220111163100Repo_20220111164600Repo_20220112153842Repo_20220112164600Repo_20220112171600Repo_20220113154600Repo_20220113160100Repo_20220113163103Repo_20220113164600Repo_20220113180100Repo_20220113184600Repo_20220113190100Repo_20220114090100Repo_20220114120100Repo_20220114121600Repo_20220117111600Repo_20220117120100Repo_20220117160100Repo_20220117171600Repo_20220117190100Repo_20220118114600Repo_20220118151600Repo_20220118161600Repo_20220118174600Repo_20220119080100Repo_20220119114600Repo_20220119121600Repo_20220119150100Repo_20220119164600Repo_20220119173100Repo_20220120104600Repo_20220120110100Repo_20220120111600Repo_20220120123100Repo_20220120124600Repo_20220120143100Repo_20220120144600Repo_20220120150100Repo_20220120153102Repo_20220120154600Repo_20220120171600Repo_20220120174600Repo_20220120180100Repo_20220121080100Repo_20220121091600Repo_20220121093100Repo_20220121100100Repo_20220121104600Repo_20220121110100Repo_20220121111600;;;U010890;533001;29/12/2021 15:48;;535225;
oest/cmd/ESFD2003A.cmd;528880;84340;"SPIRA: 84340 :spira:84340 On ne prend pas les postes ""1A100022"" et ""1A120422"" dans le tri step00 pour POCE";Y;04/11/2021 14:42;;Repo_202111221815Repo_202111230815Repo_202111231215Repo_202111231731Repo_202111241015Repo_202111241047Repo_202111241215Repo_202111241231Repo_202111241615Repo_202111241631Repo_202111250915Repo_202111251215Repo_202111251431Repo_202111251615Repo_202111261047Repo_202111290847Repo_202111291047Repo_202111300931Repo_202112011115Repo_202112020947Repo_202112021031Repo_202112021547Repo_202112021747Repo_202112031115Repo_202112060931Repo_20211207154700Repo_20211208141500Repo_20211208164700Repo_20211209091500Repo_20211209141500Repo_20211210111500Repo_20211210123100Repo_20211213111500Repo_20211214161500Repo_20211214164700Repo_20211214173126Repo_20211214181500Repo_20211214184700Repo_20211215081500Repo_20211215131500Repo_20211215171500Repo_20211216114700Repo_20211216141500Repo_20211216161500Repo_20211216174700Repo_20211217101500;;;frdev14;528878;04/11/2021 14:35;;532755;
oest/cmd/ESFD2003A.cmd;534670;91532;SPIRA: 91532 SPIRA : 91532  Bug Fix : Taille Syncsort REPORT_3L;CE;2022/01/18 11:41;;;;;U006596;533933;2022-01-10 20:29:08 ;;;
oest/cmd/ESFD2003A.cmd;534767;101406;SPIRA: 101406 spira 101406 split du ESFD2220 en ESFD2200;ESFD2230 ESID2210  ==> optimisation;CE;2022/01/18 17:31;;;;;frdev11;534758;2022-01-18 17:30:14 ;;
oest/cmd/ESFD2003A.cmd;536256;99909;SPIRA: 99909 spira 99909 Channel INI;Y;2022/02/01 12:23;;;;;U006596;536255;2022-02-01 12:22:20 ;;;
oest/cmd/ESFD2003A.cmd;;84340;"SPIRA: 84340 :spira:84340 On ne prend pas les postes ""1A100022"" et ""1A120422"" dans le tri step00 pour POCE";CT;04/11/2021 14:42;;Repo_202111221815Repo_202111230815Repo_202111231215Repo_202111231731Repo_202111241015Repo_202111241047Repo_202111241215Repo_202111241231Repo_202111241615Repo_202111241631Repo_202111250915Repo_202111251215Repo_202111251431Repo_202111251615Repo_202111261047Repo_202111290847Repo_202111291047Repo_202111300931Repo_202112011115Repo_202112020947Repo_202112021031Repo_202112021547Repo_202112021747Repo_202112031115Repo_202112060931Repo_20211207154700Repo_20211208141500Repo_20211208164700Repo_20211209091500Repo_20211209141500Repo_20211210111500Repo_20211210123100Repo_20211213111500Repo_20211214161500Repo_20211214164700Repo_20211214173126Repo_20211214181500Repo_20211214184700Repo_20211215081500Repo_20211215131500Repo_20211215171500Repo_20211216114700Repo_20211216141500Repo_20211216161500Repo_20211216174700Repo_20211217101500Repo_20211222130100;;;frdev14;528878;04/11/2021 14:35;;532784;
oest/cmd/ESFD2200.cmd;534761;101406;SPIRA: 101406 spira 101406 split du ESFD2220 en ESFD2200;ESFD2230 ESID2210  ==> optimisation;CE;2022/01/18 17:31;;;;;frdev11;534758;2022-01-18 17:30:14 ;;
oest/cmd/ESFD2201.cmd;534762;101406;SPIRA: 101406 spira 101406 split du ESFD2220 en ESFD2200;ESFD2230 ESID2210  ==> optimisation;CE;2022/01/18 17:31;;;;;frdev11;534758;2022-01-18 17:30:14 ;;
