component;Delivery revision;SPIRA;Label;Deploy;delivery date;Spot number;Repo;SPOC revision;Histo component;user;dev revision;dev date;deploy date
ofac/sql/dml/PRD/BFAC_PiTCRCONTR_AUTO.sql;605909;CG-103-ProductionHotFix#03-110579;SPIRA:TOWER1 110579 Teja - Spira 110579;Y;12/02/2024 08:16;;Repo_20240212083200Repo_20240212095200Repo_20240212155200Repo_20240213081200Repo_20240213161200Repo_20240215093200Repo_20240215131200Repo_20240216081200Repo_20240216085200Repo_20240216131200Repo_20240216153200Repo_20240216175200;;;U012692;605904;12/02/2024 08:10;;
ocpt/cmd/CPTJ1641.cmd;606352;CG-103-ProductionHotFix#03-110648;SPIRA:TOWER2 110648 [Ankush] Spira-110648-Removed Ledger 10-13 from the automatic mode;Y;2024/02/16 15:28;;Repo_20240216153200Repo_20240216175200;;;U016340;606350;2024/02/16 15:18;;
ocpt/cmd/CPTJ2011.cmd;606323;CG-103-ProductionHotFix#03-110947;SPIRA:TOWER2 110947 [Twinkle]:Changes Reverted 110947{HF#3}-STAFLG_B in the purge process CPTJ2010 is removed.;Y;16/02/2024 12:54;;Repo_20240216131200Repo_20240216153200Repo_20240216175200;;;U016181;606323;16/02/2024 12:44;;
