oest/sql/proc/PRD/PsEST_IFRS17_11_O2.prc;73959;
est/sql/proc/PRD/PsEST_IFRS17_01_O2.prc;73701;
oest/sql/proc/PRD/PsEST_IFRS17_02_O2.prc;73701;
oest/sql/proc/PRD/PsEST_IFRS17_09_O2.prc;73701;
oret/sql/ddl/PRD/BTRAV_TPNFAMPO.tab;59615;
oret/sql/ddl/PRD/BTRAV_TRETTER.tab;59615;
oret/sql/ddl/PRD/BTRAV_TRFAMLI.tab;59615;
oret/sql/ddl/PRD/BTRAV_TRFAMMIS.tab;59615;
oret/sql/ddl/PRD/BTRAV_TRFAMPRE.tab;59615;
oret/sql/ddl/PRD/BTRAV_TRFAMRI.tab;59615;
oret/sql/proc/PRD/BRET_PuRETCTR_14.prc;59615;
oret/sql/dml/PRD/spira70447_update_TRTONUMB.sql;70447;
oest/sql/dml/PRD/71193_TCASHFLOWADJ_MODIFY_COMMENT_LL.sql;71193;
oest/cmd/ESID0811.cmd;73349;
oest/sql/proc/PRD/BEST_PiLIFEST_02_O2.prc;73349;
oest/cmd/ESID0901.cmd;77220;
oest/sql/proc/PRD/BEST_PiFhwFHNIUWDRatio_01;77220;
oest/sql/ddl/PRD/BTRAV_TFHWRATIO.tab;75057;
oest/sql/dml/PRD/IFRS17_REQ_030301_ALTER_TPATSEGSII.sql;75057;
oest/sql/proc/PRD/BEST_PiANOCOHRCHK_01.prc;75057;
oest/sc/ESTC1010.c;61507;
oest/sc/struct.h;61507;
oest/sql/proc/PRD/BEST_PsPERITRT_02.prc;61507;
oest/sql/proc/PRD/BEST_PsPeriTrt_01.prc;61507;
oest/sc/TESTDELIV.c;99999;
oest/sc/ESTC1012.c;61503;
oest/sc/ESTC1016.c;61503;
oest/sc/ESTC1016.h;61503;
oest/sc/ESTC1017.c;61503;
oest/sc/ESTC1017.h;61503;
oest/sc/ESTC1018.c;61503;
oest/sc/ESTC1018.h;61503;
oest/sql/proc/PRD/BEST_PsSECTION_05.prc;61503;
oest/sc/ESTC1065.c;67650;
oest/sql/proc/PRD/BEST_PsSECTION_05.prc;61503;
oest/sql/proc/PRD/BEST_PsPeriFac_01.prc;67651;
oest/sql/proc/PRD/BEST_PsSECTION_13.prc;67651;
oest/cmd/ESID0062.cmd;67651;
oest/cmd/ESPD0061.cmd;67651;
oest/cmd/ESPD3902.cmd;67651;
oest/cmd/ESID2002.cmd;67651;
oest/cmd/ESID2002A.cmd;67651;
oest/cmd/ESID2003A.cmd;67651;
oest/sc/ESTC1065.c;67651;
oest/sc/ESTC1065.h;67651;
oest/sql/proc/PRD/PsEST_IFRS17_04_O2.prc;73701;
oret/sql/proc/PRD/BRET_PuRETCTR_05.prc;74986;
oret/sql/proc/PRD/BRET_PuRETCTR_06.prc;74986;
oest/sc/ESTC2059.c;74585
oest/sc/ESTC2060.c;67652
oest/sc/ESTC2061.c;74585;REQ 10.09      O2IFRS17        CAPGEMINI       Quentin
oest/cmd/ESID3703A.cmd;74585;REQ 10.09      O2IFRS17        CAPGEMINI       Quentin
oest/sql/proc/PRD/BEST_PiFhwLKIRatio_01.prc;77220;REQ 3.3.1      O2IFRS17        CAPGEMINI       Charles
oest/sql/proc/PRD/BEST_PsFPATTERNFWH_01.prc;67647;REQ 10.09      O2IFRS17        CAPGEMINI       Quentin
oest/sql/proc/PRD/PuUPDATECLODAT.prc;70380;REQ 1000.07      O2IFRS17        CAPGEMINI       Charles
oest/sql/proc/PRD/BEST_PsACCRETTRN_FWH_01.prc;74585;REQ 10.09      O2IFRS17        CAPGEMINI       Quentin
oest/sc/ESTC2060.h;74585;REQ 10.09      O2IFRS17        CAPGEMINI       Quentin
oest/cmd/ESID0105.cmd;76356;REQ 3.3.1      O2IFRS17        CAPGEMINI       Charles 
oest/sql/proc/PRD/BEST_PtPATSEGSII_01.prc;76356;REQ 3.3.1      O2IFRS17        CAPGEMINI       Charles 
oest/sql/proc/PRD/PsEST_IFRS17_01_O2.prc;76479;
oest/sql/proc/PRD/PsEST_IFRS17_02_O2.prc;76479;
oest/sc/ESTC1060A.c;74543;REQ 10.09      O2IFRS17        CAPGEMINI      Charles
oest/sc/ESTC2060.c;74543;REQ 10.09      O2IFRS17        CAPGEMINI      Charles
oest/sc/ESTC2060.h;74543;REQ 10.09      O2IFRS17        CAPGEMINI      Charles 

oret/sql/proc/PRD/BRET_PiRSELTER_02.prc;67678;
oret/sql/proc/PRD/BRET_PiRSELTER_03.prc;67678;
