component;Delivery revision;SPIRA;Label;Deploy;delivery date;Spot number;OTS Revision;SPOC revision;Error Type;user;dev revision;dev date;deploy date;csv revision
oepr/sql/dml/PRD/SPIRA98019_INSERT_TXSLT.sql;538006;CG-210-UAT#1-Main-98019;SPIRA:TOWER3 98019 Copy from 3L_DEV - New OMEGA2;OK;09/02/2022 16:01;;Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;;;U004311;536449;02/02/2022 10:09;;538450;
oest/cmd/ES1051C1.cmd;533210;101403;SPIRA: 101403 SPIRA 101403 Optimisation ESPD3610;OK;03/02/2022 09:15;;Repo_20220203134700Repo_20220203141500Repo_20220203144700Repo_20220203161500Repo_20220203163102Repo_20220203173100Repo_20220204084700Repo_20220204091500Repo_20220204094700Repo_20220204101500Repo_20220204111500Repo_20220204121500Repo_20220204131500Repo_20220204134700Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;;;frdev11;533207;04/01/2022 12:58;;538450;
oest/cmd/ESCJ0660.cmd;537940;94569;SPIRA: 94569 spira : 94569 Condition on contract recognition date and inception dates in pericase extractions;OK;10/02/2022 13:44;;Repo_20220208183100Repo_20220208184600Repo_20220209110100Repo_20220209114600Repo_20220209164600Repo_20220209181600Repo_20220209183100Repo_20220210080100Repo_20220210101600Repo_20220210103123Repo_20220210123100Repo_20220210141500Repo_20220210163103;;;U012294;537938;10/02/2022 13:44;;538450;
oest/cmd/ESCJ0661.cmd;534136;101272;SPIRA: 101272 SPIRA 101272 new EST_FESB;CT;03/02/2022 09:15;;Repo_20220203134700Repo_20220203141500Repo_20220203144700Repo_20220203161500Repo_20220203163102Repo_20220203173100Repo_20220204084700Repo_20220204091500Repo_20220204094700Repo_20220204101500Repo_20220204111500Repo_20220204121500Repo_20220204131500Repo_20220204134700Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123;;;U010890;534133;12/01/2022 14:42;;538131;
oest/cmd/ESCJ0661.cmd;537941;94569;SPIRA: 94569 spira : 94569 Condition on contract recognition date and inception dates in pericase extractions;OK;10/02/2022 13:44;;Repo_20220208183100Repo_20220208184600Repo_20220209110100Repo_20220209114600Repo_20220209164600Repo_20220209181600Repo_20220209183100Repo_20220210080100Repo_20220210101600Repo_20220210103123Repo_20220210123100Repo_20220210141500Repo_20220210163103;;;U012294;537938;10/02/2022 13:44;;538450;
oest/cmd/ESFD0040.cmd;535902;101782;SPIRA: 101782 SPIRA 101782 : JYP : bugfix and send granularity files to SAP;OK;28/01/2022 10:42;;Repo_20220128104600Repo_20220128133100Repo_20220128140100Repo_20220128141600Repo_20220128154600Repo_20220128163100Repo_20220128170100Repo_20220128174600Repo_20220128180100Repo_20220131120100Repo_20220131121600Repo_20220131123100Repo_20220131130100Repo_20220131163100Repo_20220131170100Repo_20220131173103Repo_20220202120257Repo_20220202144600Repo_20220202163050Repo_20220202164600Repo_20220202170100Repo_20220203093100Repo_20220203101600Repo_20220203110100Repo_20220203154600Repo_20220203161600Repo_20220203164600Repo_20220203173124Repo_20220204084600Repo_20220204110100Repo_20220204123100Repo_20220204140100Repo_20220204144600Repo_20220204151600Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;0;0;U007314;535898;28/01/2022 09:58;;538450;
oest/cmd/ESFD0041.cmd;536193;101782;SPIRA: 101782 SPIRA 101782 : granularity clean contract links file;OK;31/01/2022 16:49;;Repo_20220131170100Repo_20220131173103Repo_20220202120257Repo_20220202144600Repo_20220202163050Repo_20220202164600Repo_20220202170100Repo_20220203093100Repo_20220203101600Repo_20220203110100Repo_20220203154600Repo_20220203161600Repo_20220203164600Repo_20220203173124Repo_20220204084600Repo_20220204110100Repo_20220204123100Repo_20220204140100Repo_20220204144600Repo_20220204151600Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;0;0;U007314;536178;31/01/2022 16:41;;538450;
oest/cmd/ESFD0042.cmd;536642;101782;SPIRA: 101782 SPIRA 101782 : JYP : granularity master product code;OK;02/02/2022 17:00;;Repo_20220202170100Repo_20220203093100Repo_20220203101600Repo_20220203110100Repo_20220203154600Repo_20220203161600Repo_20220203164600Repo_20220203173124Repo_20220204084600Repo_20220204110100Repo_20220204123100Repo_20220204140100Repo_20220204144600Repo_20220204151600Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;0;0;U007314;536641;02/02/2022 16:59;;538450;
oest/cmd/ESFD0062.cmd;536578;101782;SPIRA: 101782 SPIRA 101782 : JYP : granularity master product code;OK;02/02/2022 15:36;;Repo_20220202163050Repo_20220202164600Repo_20220202170100Repo_20220203093100Repo_20220203101600Repo_20220203110100Repo_20220203154600Repo_20220203161600Repo_20220203164600Repo_20220203173124Repo_20220204084600Repo_20220204110100Repo_20220204123100Repo_20220204140100Repo_20220204144600Repo_20220204151600Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500Repo_20220208101500Repo_20220208111500Repo_20220208141500Repo_20220208151500Repo_20220208161500Repo_20220208171500Repo_20220208173125Repo_20220208174700Repo_20220209111500Repo_20220209153100Repo_20220209161500Repo_20220209183123Repo_20220210081500Repo_20220210103100Repo_20220210104700Repo_20220210111500Repo_20220210141500Repo_20220210163103;0;0;U007314;536577;02/02/2022 15:34;;538450;
oest/cmd/ESFD2003A.cmd;534670;91532;SPIRA: 99909 spira 99909 Channel INI;CT;03/02/2022 09:15;;Repo_20220203134700Repo_20220203141500Repo_20220203144700Repo_20220203161500Repo_20220203163102Repo_20220203173100Repo_20220204084700Repo_20220204091500Repo_20220204094700Repo_20220204101500Repo_20220204111500Repo_20220204121500Repo_20220204131500Repo_20220204134700Repo_20220204161500Repo_20220204164700Repo_20220205191500Repo_20220205193103Repo_20220207093102Repo_20220207114700Repo_20220207121500Repo_20220207123122Repo_20220207153103Repo_20220207154700Repo_20220207193100Repo_20220208081500;;;U006596;536255;01/02/2022 12:22;;537632;
